Complete?,Title of Policy,Date Entered,Entered By,QC Checked By,QC Check Date,Description,Policy Type,Legal Status,Primary Lever,Primary Policy Category (Broad),Secondary Lever,Secondary Category (If Necessary),Primary Subcategory,Secondary Subcategory (if necessary),Methodology,Second Methodology (if necessary),Participation,Jurisdiction,Location,Country,lat,lon,Implementing Agency,Status,Date Enacted,low,Covered Sector(s),Covered Material(s),Covered Life-Cycle Stages,Application Type,Scale of Approach,Covered Applications,Covered Impacts,Target,Target Date,Additional Targets,Compliance Mechanism,Threshold Varies?,Compliance Threshold Quantity/Range,Compliance Threshold Unit,Threshold Methodology ,Disclosure Type,Required Disclosure Standard,Required PCR,Disclosure Specificity,Disclosure Material Quantities,Disclosure Data Repository,Link(s),Archived Version,Source(s),Notes,Other
FALSE,City of Vancouver Embodied Carbon Guidelines,11/30/23,"Irish, Hannah","Hayes, Jackson",,Buildings in Vancouver must calculate the embodied carbon of a proposed design to show compliance.,Law ,Statutory,Regulatory ,Building Codes/Planning,Building Standard,,Building Code Requirements,,Whole-Building Carbon Reduction,Reporting/Analysis Requirement,Mandatory,City,"Vancouver, British Columbia, Canada",Canada,49.25204,-123.112362,City of Vancouver,Active,2022,2023,"3273, 3311, 3313, 32199","Concrete, Insulation, Windows and Glazing, Rebar, Steel, Aluminum, Wood","A1, A2, A3, A4, A5, C1, C2,  C3, C4",Buildings,Project Level; Product Level,"Part 3 Buildings: exceeding 600 m^2 in building area, or exceeding 3 stories; new buildings or major additions",GHG Emissions,40% reduction in embodied carbon in construction,2030,NA,"whole buiding LCA, EPD for products",No,400,kgCo2e/m^2,Survey of 2017-2023 embodied carbon submissions data,Embodied Carbon Design Report + Raw Data,ISO 21930,NA,"Project; Product -- industry or product-specific, depends on material",NA,NA,https://vancouver.ca/files/cov/embodied-carbon-guidelines.pdf,https://ucsb.box.com/s/vkyvusp8p7vwpqk51txexsuoitq86136,,,
TRUE,Executive Directive No. 25,11/16/2023,"Irish, Hannah","Hayes, Jackson",12/1/23,"Under Executive Directive No. 25, the Los Angeles, the Mayor's office delegated to the LA General Services Department that all new municipal-owned buildings or major rennovations be designed to reach carbon neutrality by 2030; the Mayor's office also directs the Bureau of Engineering to adopt the Buy Clean California Act Guidelines",Recommendation,Statutory,Regulatory,Clean Procurement,Procurement Policy,,Buy Clean,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,City,"Los Angeles, CA, USA",United States,34.069978,-118.336201,"Bureau of Engineering, General Services Department",,2020,2021,"331221, 3311, 327211, 321","Hot-Rolled Structural Steel, Hollow structural sections, steel plate, concrete reinforcing steel, flat glass, light-density mineral wood board insulation, heavy-density mineral wood board insulation","A1, A2, A3",Municipally-Owned,Product-level,Buildings,GHG Emissions,Carbon neutrality for new and rennovated municapally-owned buildings,2030,NA,EPD,"Yes, See Supporting Documents","1010, 1710, 1490, 890, 1430, 3.33, 8.16","kg CO2eq, CO2eq, CO2eq, CO2eq, CO2eq, 1 m2of insulation at RSI=1, 1 m2of insulation at RSI=1 ",Industry average,EPD,ISO 14025:2006,"Part B: Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Designated Steel Construction Product EPD Requirements, UL; NGA PCR for Flat Glass: UN CPC 3711, NSF International; Part B: Building Envelope Thermal Insulation EPD Requirements, UL Environment",Product,NA,NA,"https://lacity.gov/sites/g/files/wph2121/files/2021-04/20200210executivedirective25.pdf 

",https://ucsb.box.com/s/vplyasqh05swvylsy4naeyp6epsx44wv,,"Noting ""other"" for methodology because adopts BCCA exactly -- don't want to duplicate BCCA",
FALSE,LondonPlan,12/14/2023,"Hayes, Jackson",,,"Policy S12: Minimzing GHG emissions requires Whole Lie Carbon assessments (operational and embodied cabron assessment for A, B, and C stages; The GLA guidance on WLC assessments follows EN 15978 (the European standard for measuring building performance) and the 2017 RICS (Royal Institute of Chartered Surveyors) Professional Statement: Whole life carbon assessment for the built environment - Policy S17: Reducing waste and supporting the circular economy (reuqires Circular Eocnomy statement to be submitted alongside all referable proposals)",Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,Building Codes/Planning,Climate Action Plan,Building Code Requirements,Reporting/Analysis Requirement,,NA,City,"London, England, UK",United Kingdom,51.09865,-0.118092,Greater London Authority,Active,2021,2021,NA,NA,"A1, A2, A3, A4, A5",Materials,Product,Buildings Materials,GHG Emissions,Zero Carbon City,2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.london.gov.uk/sites/default/files/the_london_plan_2021.pdf,https://app.box.com/file/1389307530524,,,
FALSE,C40 Clean Construction Declaration,11/20/2023,"Hayes, Jackson",,,Committing to C40 declaration includes committing to approve at least one net zero emission (operational and embodied) flagship project by 2050 and lead by example with municipal procurement,Plan,Non-Statutory,Plan,Climate Commitment,Resolution,Training & Education,Climate Action Plan,Research Funding,Plan,,Voluntary,International,Multiple,Multiple,,,"C40 Cities, City Mayors",Active,2021,2022,236,NA,"A1, A2, A3, A4, A5",Public Projects,Project Level,"Buildings, Infrastructure",GHG Emissions,Zero Emissions,2030,30% reduction 2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.c40.org/wp-content/uploads/2021/11/CLEAN_CONSTRUCTION_CITIES_101121.pdf,https://app.box.com/file/1373119724572,,,
FALSE,Austin Community Climate Plan,11/27/23,"Irish, Hannah","Hayes, Jackson",3/6/2024,The City of Austin Climate Equity Action Plan has a goal to reduce the embodied carbon footprint of building materials used in local construction by 40% by 2030 from a 2020 baseline,Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Climate Action Plan,,Plan,,NA,City,"Austin, TX, USA",United States,30.304797,-97.73789,"City of Austin, TX",NA,2015,NA,NA,NA,NA,Buildings,Project Level,"All new buildings, existing buildings",GHG emissions,"Net-Zero Carbon new buildings, exisiting building emissions reduced by 25%, embodied carbon footprint of buiilding materials used in local construction reduced by 40%",2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.austintexas.gov/page/austin-climate-equity-plan#:~:text=All%20new%20buildings%20are%20net,construction%20is%20reduced%20by%2040%25.",https://ucsb.box.com/s/cjxsjdxoteiic7nmc85y5xc00w0umy1u,,,
FALSE,Boulder Climate Action Plan,6/20/2024,"Irish, Hannah",,,"Boulder's Climate Action Plan lists an ambitious target to embodied carbon reduction. Under their objectives to achieve Net Zero carbon in new construction, the city is targeting to achieve a 40% reduction in embodied emissions by 2031. Starting in 2023, Boulder requires all new construction to conduct an analysis of embodied energy of the project, providing subsidies to offset the costs. ",Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Climate Action Plan,,Plan,Reporting/Analysis Requirement,NA,City,"Boulder, Colorado, CA",United States,40.016822,-105.2568,City of Boulder,Active,2021,2021,NA,NA,"A1, A2, A3, A4, A5",Buildings,Project Level,All Buildings,GHG Emissions,40% reduction in embodied carbon emissions,2031,"By 2023, all new residential and commercial construction will be built electric ready. By 2023, require all new construction to conduct an analysis of embodied energy of the project, providing subsidies to offset the costs. By 2024, stand up a regional embodied energy roundtable of developers, architects, and contractors. By 2026, average EUI of commercial construction will be reduced 60% compared to a 2016 baseline. By 2026, partner with other communities and community stakeholders to collaborate on purchasing low carbon building materials for all future city operations; 10-15% reduction for new buildings annual; Align with Buy Clean Colorado",Life Cycle Asessment,NA,NA,NA,NA,LCA,NA,NA,NA,NA,NA,,,,,
FALSE,Edmonton Climate Resilient Policy C627,11/16/23,"Irish, Hannah","Hayes, Jackson",5/9/2024,"This policy requires that all new buildings are built to an emissions-neutral standard. Embodied carbon analysis is completed for new construction and ideas such as passive design strategies, well-insulated building envelopes, and the use of energy-efficient technologies like LED lighting are encouraged. All New Construction shall require Embodied Carbon assessments (From Carbon Leadership Forum)",Law ,Non-Statutory,Plan,Building Codes/Planning,Climate Action Plan,,Building Code Requirements,,Reporting/Analysis Requirement,,NA,City,"Edmonton, Alberta, Canada",Canada,53.523623,-113.504164,City of Edmonton,Active,2019,2021,NA,NA,NA,NA,NA,NA,GHG Emissions,Carbon neutrality,2050,"35% reduction by 2025, 50% reduction by 2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.edmonton.ca/sites/default/files/public-files/assets/PoliciesDirectives/C627.pdf?cb=1658876454,https://ucsb.box.com/s/u4ox17vnbmvsxgbk6msu9ptvknjv693r,,,
FALSE,Amherst Climate Action Adaptation and Resilience Plan,11/24/2023,"Hayes, Jackson",,,Amherst's Climate Action Adaptation and Resilience Plan under Beyound 2025 strategy aims to mandate embodied carbon analysis for new constructions and work towards setting regulatory thresholds including both operational and embodied carbon throughout the building life-cycle.,Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Climate Action Plan,,Plan,,NA,City,"Amherst, MA, USA",United States,42.357303,-72.50114,"City of Amherst, MA",Active,2021,2021,"3311, 3273","Cement, Steel, Brick, Glass, Gypsum board, Insulation, Flooring materials, Ceiling tile",NA,Municipally-Owned,Project Level,Buildings,GHG Emissions,Net Zero (compared to 2016),2050,"25% below 2016 levels by 2025; 50% below 2016 levels by 2030
",LEED,NA,NA,NA,NA,NA,ISO 50001,NA,NA,NA,NA,https://www.amherstma.gov/DocumentCenter/View/56637/7a-CAARP_Town_Council_6-21-2021_final-slides-1,https://app.box.com/file/1373122842001,,,
FALSE,Phoenix Climate Action Plan - Embodied Carbon,12/1/2023,"Hayes, Jackson",,,"Phoenix’s Climate Action Plan includes language to reduce embodied carbon. Phoenix is moving towards reducing community carbon emissions from buildings, transportation, and waste to move toward becoming a carbon neutral city by 2050.",Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Climate Action Plan,,NA,,NA,City,"Phoenix, AZ, USA",United States,33.422791,-112.082479,City of Phoenix,Active,2021,2021,NA,NA,NA,NA,NA,NA,GHG Emissions,Develop embodied carbon calculators applicable to the Phoenix climate and building materials used within the region,2025- 2035,voluntary compliance with the 2012 Phoenix Green Construction Code which incorporates standards to reduce embodied carbon emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.phoenix.gov/oepsite/Documents/2021ClimateActionPlanEnglish.pdf,,,,
TRUE,Ann Arbor Resolution to Encourage and Accelerate the Use of Low Embodied Carbon Building Materials in Construction,11/16/2023,"Hayes, Jackson","Irish, Hannah",11/21/2023,"This resolution focuses on encouraging the use of low embodied carbon building materials in construction projects. It acknowledges the significant role of greenhouse gas emissions from the construction and operation of the built environment in climate change. The resolution directs the City Administrator to develop criteria for utilizing low embodied carbon building materials in building and infrastructure projects, provide an annual report on projects where these materials were used, develop and share resource materials on the City’s Planning website, and conduct public outreach about these materials.",Plan,Non-Statutory,Plan,Climate Commitment,Resolution,,Resolution/Declaration of Intent,,NA,,Voluntary,City,"Ann Arbor, MI, USA",United States,42.273935,-83.732211,City of Ann Arbor,Active,2021,NA,"3311
3273","Concrete, Steel",NA,NA,Product Level,NA,GHG Emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a2gov.legistar.com/ViewReport.ashx?M=R&N=Text&GID=55&ID=4598872&GUID=AF360C43-55BC-4A97-9C2B-916153E5C666&Title=Legislation+Text,https://ucsb.box.com/s/zh7rbe3stvyaye2gftafveyllh5i0r6v,,,
