Complete?,Title of Policy,Date Entered,Entered By,QC Checked By,QC Check Date,Description,Legal Status,Policy Category,Building Codes,Clean Procurement,Climate Commitment,Training & Education,Policy Subcategory,Buy Clean,Owner Procurement Guidelines,Public Sector Incentives,Building Code Requirements,Zoning Incentives,Building Design Incentives,Climate Action Plan,Resolution/Declaration of Intent,Research Funding,Education,Methodology,Participation,Jurisdiction,Location,Country,lat,lon,Implementing Agency,Status,Date Enacted,Date In Effect,Covered Sector(s),Covered Material(s),Concrete,Steel/Rebar,Aluminum,Cement,Brick,Iron,Asphalt,Wood/Timber,Insulation,Glass,Covered Life-Cycle Stages,Application Type,Scale of Approach,Covered Applications,Covered Impacts,Target,Target Date,Additional Targets,Compliance Mechanism,Threshold Varies?,Compliance Threshold Quantity/Range,Compliance Threshold Unit,Threshold Methodology ,Threshold Change Cadence,Disclosure Type,Required Disclosure Standard,Required PCR,Disclosure Specificity,Disclosure Material Quantities,Disclosure Data Repository,Link(s),Archived Version,Source(s),Notes,Other
TRUE,City of Vancouver Embodied Carbon Guidelines,11/30/2023,"Irish, Hannah","Irish, Hannah",3/2/2025,Buildings in Vancouver must calculate the embodied carbon of a proposed design to show compliance.,Statutory,Building Codes/Planning,1,0,0,0,Building Code Requirements,0,0,0,1,0,0,0,0,0,0,"Whole-Building Carbon Reduction, Reporting/Analysis Requirement",Mandatory,City,"Vancouver, British Columbia, Canada",Canada,49.25204,-123.112,City of Vancouver,Active,2022,2023,"3273, 3311, 3313, 32199","Concrete, Insulation, Windows and Glazing, Rebar, Steel, Aluminum, Wood",1,1,1,0,0,0,0,1,1,0,"A1-A5, B1-B5, C1-C4",Buildings,Project Level; Product Level,"Part 3 Buildings: exceeding 600 m^2 in building area, or exceeding 3 stories; new buildings or major additions",GHG Emissions,40% reduction in embodied carbon in construction,2030,NA,"whole buiding LCA, Type III EPD",No,400,kgCo2e/m^2,Survey of 2017-2023 embodied carbon submissions data,NA,"EPD, LCA",ISO 21930; EN15804,NA,"Project; Product -- industry or product-specific, depends on material",NA,NA,https://vancouver.ca/files/cov/embodied-carbon-guidelines.pdf,https://ucsb.box.com/s/vkyvusp8p7vwpqk51txexsuoitq86136,City of Vancouver. (2023). Embodied carbon guidelines (Version 1.0). https://vancouver.ca/files/cov/embodied-carbon-guidelines.pdf,,
TRUE,Executive Directive No. 25,11/16/2023,"Irish, Hannah","Hayes, Jackson",12/1/2023,"Under Executive Directive No. 25, the Los Angeles, the Mayor's office delegated to the LA General Services Department that all new municipal-owned buildings or major rennovations be designed to reach carbon neutrality by 2030; the Mayor's office also directs the Bureau of Engineering to adopt the Buy Clean California Act Guidelines",Non-Statutory,Clean Procurement,0,1,0,0,Buy Clean,1,0,0,0,0,0,0,0,0,0,Product/Material-Specific Carbon Limits or Reductions,Mandatory,City,"Los Angeles, CA, USA",United States,34.06998,-118.336,CIty of Los Angeles,Active,2020,2021,"331221, 3311, 327211, 321","Hot-Rolled Structural Steel, Hollow structural sections, steel plate, rebar, flat glass, light-density mineral wood board insulation, heavy-density mineral wood board insulation",0,1,0,0,0,0,0,0,1,1,A1-A3,Buildings,Product-level,Municipally-Owned,GHG Emissions,Carbon neutrality for new and rennovated municapally-owned buildings,2030,NA,Type III EPD,"Yes, See Supporting Documents","1010, 1710, 1490, 890, 1430, 3.33, 8.16","kg CO2eq, CO2eq, CO2eq, CO2eq, CO2eq, 1 m2of insulation at RSI=1, 1 m2of insulation at RSI=1 ",Industry average,3 years,EPD,ISO 14025:2006,"Part B: Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Designated Steel Construction Product EPD Requirements, UL; NGA PCR for Flat Glass: UN CPC 3711, NSF International; Part B: Building Envelope Thermal Insulation EPD Requirements, UL Environment",Product,NA,NA,https://lacity.gov/sites/g/files/wph2281/files/2021-04/20200210executivedirective25.pdf,https://ucsb.box.com/s/vplyasqh05swvylsy4naeyp6epsx44wv,City of Los Angeles. (2020). Executive directive 25: Climate emergency mobilization (PDF). https://lacity.gov/sites/g/files/wph2281/files/2021-04/20200210executivedirective25.pdf,"Noting ""other"" for methodology because adopts BCCA exactly -- don't want to duplicate BCCA",
TRUE,London Plan,12/14/2023,"Hayes, Jackson","Irish, Hannah",3/2/2025,"Policy S12: Minimzing GHG emissions requires Whole Lie Carbon assessments (operational and embodied cabron assessment for A, B, and C stages; The GLA guidance on WLC assessments follows EN 15978 (the European standard for measuring building performance) and the 2017 RICS (Royal Institute of Chartered Surveyors) Professional Statement: Whole life carbon assessment for the built environment - Policy S17: Reducing waste and supporting the circular economy (reuqires Circular Eocnomy statement to be submitted alongside all referable proposals)",Non-Statutory,"Climate Commitment, Building Codes/Planning",1,0,1,0,"Climate Action Plan, Building Code Requirements",0,0,0,1,0,0,1,0,0,0,Reporting/Analysis Requirement,NA,City,"London, England, UK",United Kingdom,51.09865,-0.11809,Greater London Authority,Active,2021,2021,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,Buildings,Product,NA,GHG Emissions,Zero Carbon City,2050,NA,Whole Life-Cycle Carbon Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.london.gov.uk/sites/default/files/the_london_plan_2021.pdf,https://app.box.com/file/1389307530524,Greater London Authority. (2021). The London Plan 2021. https://www.london.gov.uk/sites/default/files/the_london_plan_2021.pdf,,
TRUE,C40 Clean Construction Declaration,11/20/2023,"Hayes, Jackson","Irish, Hannah",3/2/2025,"Committing to C40 declaration includes committing to approve at least one net zero emission (operational and embodied) flagship project by 2050 and to lead by example with municipal procurement. Budapest, Los Angeles, Mexico City, and Oslo have participated in the declaration",Non-Statutory,"Climate Commitment, Training & Education",0,0,1,1,"Climate Action Plan, Research Funding",0,0,0,0,0,0,1,0,1,0,"Plan, Research",Voluntary,International,Multiple,Multiple,,,"C40 Cities, City Mayors",Active,2021,2022,236,NA,0,0,0,0,0,0,0,0,0,0,NA,"Buildings, Infrastructure",Project Level,Public Projects,GHG Emissions,50% reduction in embodied emissions for new buildings and major retrofits,2030,30% reduction in embodied emissions for new buildings and major retrofits by 2025,LCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.c40.org/wp-content/uploads/2021/11/CLEAN_CONSTRUCTION_CITIES_101121.pdf,https://app.box.com/file/1373119724572,C40 Cities. (2021). Clean construction cities: A roadmap to reducing embodied carbon in construction (PDF). https://www.c40.org/wp-content/uploads/2021/11/CLEAN_CONSTRUCTION_CITIES_101121.pdf,,
TRUE,Austin Climate Equity Plan,11/27/2023,"Irish, Hannah","Irish, Hannah",3/2/2025,The City of Austin Climate Equity Action Plan has a goal to reduce the embodied carbon footprint of building materials used in local construction by 40% by 2030 from a 2020 baseline,Non-Statutory,"Climate Commitment, Training & Education",0,0,1,1,"Climate Action Plan, Education",0,0,0,0,0,0,1,0,0,1,"Plan, Whole-Building Carbon Reduction",NA,City,"Austin, TX, USA",United States,30.3048,-97.7379,"City of Austin, TX",NA,2021,2021,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,Buildings,Project Level,"All new buildings, existing buildings",GHG emissions,Net Zero Community Wide Emissions,2040,"By 2030, All new buildings are net-zero carbon, emissions from existing buildings are reduced by 25%, and all natural gas-related emissions are reduced by 30%.
Community-wide emissions from refrigerant leakage are reduced by 25%.
The embodied carbon footprint of building materials used in local construction is reduced by 40%.
A community-wide water demand of approximately 152,000 acre-feet per year is equitably achieved.",NA,NA,500,kg CO2e/m2,NA,NA,NA,NA,NA,Project,NA,NA,"https://www.austintexas.gov/page/austin-climate-equity-plan#:~:text=All%20new%20buildings%20are%20net,construction%20is%20reduced%20by%2040%25. https://www.austintexas.gov/sites/default/files/files/Sustainability/Climate%20Equity%20Plan/ACEP_Sustainable%20Buildings.pdf",https://ucsb.box.com/s/cjxsjdxoteiic7nmc85y5xc00w0umy1u,"City of Austin. (n.d.). Austin climate equity plan. AustinTexas.gov. Retrieved November 27, 2023, from https://www.austintexas.gov/page/austin-climate-equity-plan#:~:text=All%20new%20buildings%20are%20net,construction%20is%20reduced%20by%2040%25",,
TRUE,Boulder Climate Action Plan,6/20/2024,"Irish, Hannah","Irish, Hannah",3/2/2025,"Boulder's Climate Action Plan lists an ambitious target to embodied carbon reduction. Under their objectives to achieve Net Zero carbon in new construction, the city is targeting to achieve a 40% reduction in embodied emissions by 2031. Starting in 2023, Boulder requires all new construction to conduct an analysis of embodied energy of the project, providing subsidies to offset the costs. ",Non-Statutory,Climate Commitment,0,0,1,0,Climate Action Plan,0,0,0,0,0,0,1,0,0,0,"Plan, Reporting/Analysis Requirement",Mandatory,City,"Boulder, Colorado, CA",United States,40.01682,-105.257,City of Boulder,Active,2021,2021,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,Buildings,Project Level,All Buildings,GHG Emissions,40% reduction in embodied carbon emissions,2031,"By 2023, all new residential and commercial construction will be built electric ready. By 2023, require all new construction to conduct an analysis of embodied energy of the project, providing subsidies to offset the costs. By 2024, stand up a regional embodied energy roundtable of developers, architects, and contractors. By 2026, average EUI of commercial construction will be reduced 60% compared to a 2016 baseline. By 2026, partner with other communities and community stakeholders to collaborate on purchasing low carbon building materials for all future city operations; 10-15% reduction for new buildings annual; Align with Buy Clean Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,file:///C:/Users/hanna/Downloads/June_8_Study_Session_FINAL.pdf,https://ucsb.box.com/s/fdcmnhomv60wikyawztnimt1snq8z51k,"City of Boulder. (2021, June 8). Study session for June 8, 2021: Update on Climate Action Plan. [PDF]. https://bouldercolorado.gov/future-climate-action ",,
TRUE,Edmonton Climate Resilient Policy C627,11/16/2023,"Irish, Hannah","Irish, Hannah",3/2/2025,"This policy requires that all new buildings are built to an emissions-neutral standard. Embodied carbon analysis is completed for new construction and ideas such as passive design strategies, well-insulated building envelopes, and the use of energy-efficient technologies like LED lighting are encouraged. All New Construction shall require Embodied Carbon assessments (From Carbon Leadership Forum)",Statutory,Building Codes/Planning,1,0,0,0,Building Code Requirements,0,0,0,1,0,0,0,0,0,0,Reporting/Analysis Requirement,Mandatory,City,"Edmonton, Alberta, Canada",Canada,53.52362,-113.504,City of Edmonton,Active,2019,2021,NA,NA,0,0,0,0,0,0,0,0,0,0,A1-A5,Buildings,Project Level; Product Level,All New Construction,GHG Emissions,Carbon neutrality,2050,"25% reduction by 2025, 50% reduction by 2030",Type III EPD,NA,NA,NA,NA,NA,Product,EN 15978,NA,NA,NA,NA,https://www.edmonton.ca/sites/default/files/public-files/assets/PoliciesDirectives/C627.pdf?cb=1658876454,https://ucsb.box.com/s/u4ox17vnbmvsxgbk6msu9ptvknjv693r,City of Edmonton. (2021). Climate resilience: Climate change adaptation plan (Report No. C627a). City of Edmonton. https://www.edmonton.ca/sites/default/files/public-files/C627a.pdf?cb=1740980247,,
TRUE,Amherst Climate Action Adaptation and Resilience Plan,11/24/2023,"Hayes, Jackson","Irish, Hannah",3/2/2025,Amherst's Climate Action Adaptation and Resilience Plan under Beyound 2025 strategy aims to mandate embodied carbon analysis for new constructions and work towards setting regulatory thresholds including both operational and embodied carbon throughout the building life-cycle.,Non-Statutory,Climate Commitment,0,0,1,0,Climate Action Plan,0,0,0,0,0,0,1,0,0,0,Plan,NA,City,"Amherst, MA, USA",United States,42.3573,-72.5011,"City of Amherst, MA",Active,2021,2021,"3311, 3273","Cement, Steel, Brick, Glass, Gypsum board, Insulation, Flooring materials, Ceiling tile",0,1,0,1,1,0,0,0,1,1,NA,Buildings,Project Level,Municipally-Owned,GHG Emissions,Carbon Neutrality,2050,"25% below 2016 levels by 2025; 50% below 2016 levels by 2030
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.amherstma.gov/DocumentCenter/View/56637/7a-CAARP_Town_Council_6-21-2021_final-slides-1,https://app.box.com/file/1373122842001,Amherst. (n.d.). Climate action and resilience plan (CAARP). Amherst. https://kladashboard-clientsourcefiles.s3.amazonaws.com/Amherst/CAARP+Final.pdf,,
TRUE,Phoenix Climate Action Plan - Embodied Carbon,12/1/2023,"Hayes, Jackson","Irish, Hannah",3/4/2025,"Phoenix’s Climate Action Plan includes language to reduce embodied carbon. Phoenix is moving towards reducing community carbon emissions from buildings, transportation, and waste to move toward becoming a carbon neutral city by 2050.",Non-Statutory,Climate Commitment,0,0,1,0,Climate Action Plan,0,0,0,0,0,0,1,0,0,0,Plan,NA,City,"Phoenix, AZ, USA",United States,33.42279,-112.082,City of Phoenix,Active,2021,2021,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GHG Emissions,Carbon Neutrality,2050,50% GHG emissions cut by 2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.phoenix.gov/oepsite/Documents/2021ClimateActionPlanEnglish.pdf,https://ucsb.box.com/s/pist00c2icpop3jt96122gab2ku5c9fm,City of Phoenix. (2021). 2021 Climate Action Plan. City of Phoenix. https://www.phoenix.gov/oepsite/Documents/2021ClimateActionPlanEnglish.pdf,,
TRUE,Ann Arbor Resolution to Encourage and Accelerate the Use of Low Embodied Carbon Building Materials in Construction,11/16/2023,"Hayes, Jackson","Irish, Hannah",11/21/2023,"This resolution focuses on encouraging the use of low embodied carbon building materials in construction projects. It acknowledges the significant role of greenhouse gas emissions from the construction and operation of the built environment in climate change. The resolution directs the City Administrator to develop criteria for utilizing low embodied carbon building materials in building and infrastructure projects, provide an annual report on projects where these materials were used, develop and share resource materials on the City’s Planning website, and conduct public outreach about these materials.",Non-Statutory,"Climate Commitment, Training & Education",0,0,1,1,"Resolution/Declaration of Intent, Education",0,0,0,0,0,0,0,1,0,1,NA,Voluntary,City,"Ann Arbor, MI, USA",United States,42.27394,-83.7322,City of Ann Arbor,Active,2021,NA,"3311
3273","Concrete, Steel",1,1,0,0,0,0,0,0,0,0,NA,NA,Product Level,NA,GHG Emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://a2gov.legistar.com/ViewReport.ashx?M=R&N=Text&GID=55&ID=4598872&GUID=AF360C43-55BC-4A97-9C2B-916153E5C666&Title=Legislation+Text,https://ucsb.box.com/s/zh7rbe3stvyaye2gftafveyllh5i0r6v,"Ann Arbor City Council. (2022, April 2). Legislation text: AF360C43-55BC-4A97-9C2B-916153E5C666. City of Ann Arbor.https://a2gov.legistar.com/ViewReport.ashx?M=R&N=Text&GID=55&ID=4598872&GUID=AF360C43-55BC-4A97-9C2B-916153E5C666&Title=Legislation+Text",,
